Summary,ID,ptLTL,Generated ptLTL,Equivalence Check
0/1,"If ( prop_1 ) then ( prop_4 ) happens and this scenario will hold until at some other point during the 237 to 656 time units ( prop_2 ) is detected , or else ( prop_3 ) .","( ( ( prop_1 -> prop_4 ) U [237,656] prop_2 ) | prop_3 )","((prop_1) -> ((prop_4) U_[237,656] (prop_2))) | (!prop_1 -> prop_3)",False
0/2,"It is always the case that in case that the event that ( prop_3 ) gets observed , then the following condition is true : in no time ( prop_1 ) , or ( prop_2 ) .",G ( prop_3 -> ( prop_1 | prop_2 ) ),G( prop_3 -> !(prop_1 | prop_2) ),False
0/3,"It is required that the scenario in which (prop_1) happens and continues until at some point during the 289 to 527 time units (prop_4) happens, is equivalent to the scenario in which (prop_3) and (prop_2) happen at the same time .","( ( prop_1 U [289,527] prop_4 ) <-> ( prop_3 & prop_2 ) )","((prop_1 U[289,527] prop_4) <-> (prop_3 & prop_2))",True
1/4,"When ( prop_1 ) and ( prop_3 ) happen, then ( prop_2 ) will also happen.",G ( ( prop_1 & prop_3 ) -> prop_2 ),G((prop_1 & prop_3) -> prop_2),True
1/5,never ( prop_1 ) or ( prop_2 ),G ( ! prop_1 | prop_2 ),G ! (prop_1 | prop_2),False
2/6,It is always the case that while ( prop_3 ) and ( prop_1 ) then all of the following conditions are true : ( prop_2 ) .,G ( ( prop_3 & prop_1 ) -> prop_2 ),G((prop_3 & prop_1) -> prop_2),True
2/7,It is always the case that if ( prop_1 ) then the following condition is true : ( prop_2 ) .,G ( prop_1 -> F prop_2 ),G ( prop_1 -> prop_2 ),False
2/8,"Globally , in case that the scenario that ( prop_3 ) happens , then in response there must be a certain time point in the first 7174 to 11684 time units , at which ( prop_1 ) , and till then ( prop_2 ) .","G ( prop_3 -> ( prop_1 U [7174,11684] prop_2 ) )","G( prop_3 -> ( (!prop_1 & prop_2) U[7174,11684] (prop_1 & prop_2) ) )",False
3/9,( prop_1 ) or ( prop_2 ),( prop_1 | prop_2 ),prop_1 | prop_2,True
4/10,"In the event that ( prop_1 ) , or ( prop_2 ) , then in no time ( prop_4 ) and ( prop_3 ) .",G ( ( prop_1 | prop_2 ) -> ( prop_4 & prop_3 ) ),G((prop_1 | prop_2) -> (prop_4 & prop_3)),True
5/11,(prop_3) until (prop_2). (prop_1).,( ( prop_3 U prop_2 ) & prop_1 ),(prop_3 U prop_2) & prop_1,True
6/12,"It is always the case that in case that ( prop_3 ) and ( prop_2 ) , then all of the following conditions hold : ( prop_1 ) .",G ( ( prop_3 & prop_2 ) -> prop_1 ),G((prop_3 & prop_2) -> prop_1),True
