true/total,natural_language,reference_ltl,generated_ltl,Equivalence Check
1/1,"It is always the case that whenever the event that ( prop_1 ) happens then the following condition is true : at the same time ( prop_2 ) , or ( prop_3 ) .",G ( prop_1 -> ( prop_2 | prop_3 ) ),G ( prop_1 -> ( prop_2 | prop_3 ) ),True
1/2,"If (prop_3), then (prop_4), but if (prop_2) or (prop_1), then stop .",( ( prop_3 -> prop_4 ) U ( prop_2 | prop_1 ) ),G( (prop_3 -> prop_4) & ((prop_2 | prop_1) -> !prop_4) ),False
2/3,"Globally , while ( prop_3 ) and ( prop_1 ) , then in response ( prop_2 ) .",G ( ( prop_3 & prop_1 ) -> prop_2 ),G((prop_3 & prop_1) -> prop_2),True
2/4,"( prop_2 ) will not happen until at some point during the 8492 to 11148 time units ( prop_3 ) is detected , and ( prop_1 ) .","( ( ! prop_2 U [8492,11148] prop_3 ) & prop_1 )","(!prop_3) U (F[8492,11148](prop_3) & prop_1 & !prop_2)",False
3/5,"It is always the case that if ( prop_2 ) , and the scenario that ( prop_1 ) happens then all of the following conditions hold : at the same time ( prop_3 ) .",G ( ( prop_2 & prop_1 ) -> prop_3 ),G( (prop_2 & prop_1) -> prop_3 ),True
3/6,If ( prop_1 ) or the scenario that ( prop_3 ) is not observed then all of the following conditions are true : right away ( prop_2 ) .,G ( ( prop_1 | prop_3 ) -> prop_2 ),((prop_1 | !prop_3) -> X prop_2),False
3/7,"At some point between 198 and 455 time units from now, either (prop_1) should happen, or both (prop_3) and (prop_2) should happen simultaneously.","( F [198,455] prop_1 | ( prop_3 & prop_2 ) )","F[198,455](prop_1 | (prop_3 & prop_2))",True
4/8,"when at some time ( prop_1 ) , at some time ( prop_2 )",( F prop_1 -> F prop_2 ),F(prop_1) -> F(prop_2),True
5/9,( prop_1 ) or at some time ( prop_2 ),( prop_1 | F prop_2 ),prop_1 | F prop_2,True
6/10,"It is always the case that if the scenario that ( prop_3 ) takes place , then all of the following conditions hold : at the same time the transition action that ( prop_2 ) should get observed , and at once ( prop_1 ) .",G ( prop_3 -> ( prop_2 & prop_1 ) ),G ( prop_3 -> ( prop_2 & prop_1 ) ),True
7/11,"Globally , everytime when ( prop_1 ) then all of the following conditions are true : ( prop_2 ) .",G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
7/12,when possible ( prop_1 ) and when possible ( prop_2 ),F ( prop_1 & F prop_2 ),F(prop_1) & F(prop_2),True
8/13,"When the scenario that ( prop_2 ) occurs then the following condition is true : right away ( prop_1 ) , and at the same moment ( prop_3 ) .",G ( prop_2 -> ( prop_1 & prop_3 ) ),G( prop_2 -> ( prop_1 & prop_3 ) ),True
9/14,( prop_1 ) or at some time ( prop_2 ),( prop_1 | F prop_2 ),prop_1 | F prop_2,True
10/15,"If ( prop_3 ) and ( prop_1 ) , then all of the following conditions are true : ( prop_2 ) .",G ( ( prop_3 & prop_1 ) -> prop_2 ),G((prop_3 & prop_1) -> prop_2),True
11/16,It is always the case that when the transition action that ( prop_1 ) takes place then all of the following conditions are true : at the same time ( prop_2 ) .,G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
12/17,"Globally , whenever the event that ( prop_1 ) takes place then the following condition holds : ( prop_2 ) .",G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
13/18,In the event that ( prop_1 ) or ( prop_3 ) then all of the following conditions are true : without any delay ( prop_2 ) .,G ( ( prop_1 | prop_3 ) -> prop_2 ),G((prop_1 | prop_3) -> prop_2),True
14/19,It is always the case that whenever the event that ( prop_3 ) takes place then the following condition is true : ( prop_1 ) and then consecutively this condition ought to keep till ( prop_2 ) .,G ( prop_3 -> ( prop_1 U prop_2 ) ),G ( prop_3 -> ( prop_1 U prop_2 ) ),True
14/20,"For 102 to 197 timesteps, ensure that (prop_2) is true, this is equivalent to the scenario in which either (prop_3) or (prop_1) happens .","( G [102,197] prop_2 <-> ( prop_3 | prop_1 ) )","G[102,197] (prop_2 <-> (prop_3 | prop_1))",True
15/21,"It is always the case that while ( prop_2 ) or ( prop_3 ) , then the following condition holds : ( prop_1 ) .",G ( ( prop_2 | prop_3 ) -> prop_1 ),G((prop_2 | prop_3) -> prop_1),True
15/22,"If at some point (prop_1) happens, then if (prop_2) does not happen, ensure that (prop_3) happens.",( F prop_1 -> ( ! prop_2 -> prop_3 ) ),F(prop_1 -> (!prop_2 -> prop_3)),True
15/23,"Globally , in case that ( prop_1 ) , or ( prop_3 ) , then immediately ( prop_2 ) .",G ( ( prop_1 | prop_3 ) -> prop_2 ),G((prop_1 | prop_3) -> X(prop_2)),False
15/24,"(prop_3) and (prop_4) happen at the same time and continue until at some point during the next 162 to 321 time units, either (prop_2) or (prop_1) should happen .","( ( prop_3 & prop_4 ) U [162,321] ( prop_2 | prop_1 ) )","((prop_3 & prop_4) U F[162,321](prop_2 | prop_1))",False
15/25,"Globally , when ( prop_3 ) and ( prop_1 ) , then all of the following conditions are true : finally there should exist a time in the following 16 to 38 time units , at which ( prop_2 ) .","G ( ( prop_3 & prop_1 ) -> F [16,38] prop_2 )","G((prop_3 & prop_1) -> F[16,38](prop_2))",True
15/26,"If (prop_3) doesn't happen, then make sure any of the following happens: (prop_2) or (prop_1) .",( ! prop_3 | ( prop_2 | prop_1 ) ),!prop_3 -> (prop_2 | prop_1),True
15/27,"For 478 to 598 timesteps (prop_1), then if (prop_2), then (prop_3) .","( G [478,598] prop_1 -> ( prop_2 -> prop_3 ) )","[(prop_1)[478,598] & prop_2] -> prop_3",False
16/28,when possible ( prop_1 ) or at any time ( prop_2 ),F ( prop_1 | F prop_2 ),F(prop_1 | prop_2),True
16/29,"At least one of the events ( prop_1 ) , ( prop_3 ) , or ( prop_4 ) should occur until ( prop_2 ) .",( ( ( prop_1 | prop_3 ) | prop_4 ) U prop_2 ),\[ (\neg prop_2) \ U \ (prop_1 \ | \ prop_3 \ | \ prop_4) \],False
16/30,"At a certain point after the next 441 time units ( prop_2 ) happens, the above condition is equivalent to the scenario in which ( prop_1 ) does not happen and ( prop_3 ) happens , .","( F [441,infinite] prop_2 <-> ( ! prop_1 & prop_3 ) )","X[441,441](prop_2) <-> (!prop_1 & prop_3)",False
16/31,( prop_1 ) or whenever ( prop_2 ),( prop_1 | F prop_2 ),G ( prop_2 -> prop_1 ),False
17/32,"Globally , while ( prop_2 ) or ( prop_3 ) , then all of the following conditions hold : there must eventually exist sometime in the future before the end of the execution , at which ( prop_1 ) and this scenario will consistently remain in the future till the end of the simulation .",G ( ( prop_2 | prop_3 ) -> F ( G prop_1 ) ),G( (prop_2 | prop_3) -> F(prop_1 & G(prop_1)) ),True
18/33,It is always the case that everytime when the transition action that ( prop_1 ) is observed then at the same time instant ( prop_2 ) .,G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
18/34,"Get (prop_1) to occur as soon as possible, and while doing so, also do (prop_3) and (prop_2) .",( F prop_1 & ( prop_3 & prop_2 ) ),F ( prop_2 & prop_3 & prop_1 ),False
19/35,If the scenario that ( prop_3 ) is observed then in response right away ( prop_2 ) and ( prop_1 ) .,G ( prop_3 -> ( prop_2 & prop_1 ) ),G ( prop_3 -> ( prop_2 & prop_1 ) ),True
19/36,"Everytime when ( prop_2 ) and ( prop_1 ) then all of the following conditions are true : there should exist sometime within the next 8224 to 15348 time units eventually , at which the event that ( prop_3 ) takes place .","G ( ( prop_2 & prop_1 ) -> F [8224,15348] prop_3 )","G((prop_2 & prop_1) -> F[8224,15348](prop_3))",True
19/37,"It is always the case that while ( prop_2 ) , and ( prop_3 ) then the following condition holds : in the future , ( prop_1 ) .",G ( ( prop_2 & prop_3 ) -> G prop_1 ),G((prop_2 & prop_3) -> F(prop_1)),False
19/38,"Globally , everytime when ( prop_3 ) , and ( prop_1 ) then there needs to be eventually a certain moment starting between 4676 to 6013 time units , at which ( prop_2 ) and then this condition has to last consistently for every time instant in the coming 27 to 27 time units .","G ( ( prop_3 & prop_1 ) -> F [4676,6013] ( G [4676,6013] prop_2 ) )","G( (prop_3 & prop_1) -> F[4676,6013]( G[0,27](prop_2) ) )",False
19/39,"Globally , in case that the event that ( prop_3 ) is detected then all of the following conditions hold : ( prop_1 ) and this scenario should last consecutively till ultimately there exists a certain moment during the following 4364 to 5318 time units , at which ( prop_2 ) .","G ( prop_3 -> ( prop_1 U [4364,5318] prop_2 ) )","G( prop_3 -> ( prop_1 U[F[4364,5318] prop_2] ) )",False
20/40,"In case that the scenario that ( prop_3 ) is detected , then all of the following conditions hold : starting without any delay the transition action that ( prop_1 ) needs to get observed , or ( prop_2 ) .",G ( prop_3 -> ( prop_1 | prop_2 ) ),G( prop_3 -> ( prop_1 | prop_2 ) ),True
20/41,"It is always the case that everytime when ( prop_2 ) or ( prop_1 ) then the following condition holds : for each time instant in the future before the simulation ends , there has to be a time during the following 1 to 8 time units , at which the transition action that ( prop_3 ) must eventually get observed .",G ( ( prop_2 | prop_1 ) -> G ( F prop_3 ) ),"G( (prop_2 | prop_1) -> F[1,8](prop_3) )",False
21/42,Everytime when the scenario that ( prop_1 ) is detected then the following condition holds : ( prop_3 ) or ( prop_2 ) .,G ( prop_1 -> ( prop_3 | prop_2 ) ),G ( prop_1 -> ( prop_3 | prop_2 ) ),True
22/43,"In the event that ( prop_3 ) and ( prop_1 ) , then all of the following conditions hold : ( prop_2 ) .",G ( ( prop_3 & prop_1 ) -> prop_2 ),G((prop_3 & prop_1) -> prop_2),True
22/44,"Globally , in case that the event that ( prop_3 ) gets detected , then the following condition holds : there shall exist sometime in the future , at which ultimately ( prop_2 ) , and till then uninterruptedly ( prop_1 ) .",G ( prop_3 -> ( prop_2 U prop_1 ) ),G( prop_3 -> ( F( (F prop_2) & (prop_1 U prop_2) ) ) ),False
22/45,"If (prop_2), then (prop_1), but if (prop_4) or (prop_3), then stop .",( ( prop_2 -> prop_1 ) U ( prop_4 | prop_3 ) ),G( (prop_2 -> prop_1) & ((prop_4 | prop_3) -> !prop_1) ),False
22/46,"Always make sure that after 430 time steps (prop_2) happens, and either (prop_3) or (prop_1) happens .","( F [430,infinite] prop_2 & ( prop_3 | prop_1 ) )","( F[430,430] ( prop_2 & ( prop_3 | prop_1 ) ) )",True
22/47,( prop_1 ) or whenever ( prop_2 ),( prop_1 | F prop_2 ),G ( prop_2 -> prop_1 ),False
23/48,"If (prop_1) is always true, then either (prop_3) or (prop_2) should be true .",( G prop_1 -> ( prop_3 | prop_2 ) ),G(prop_1) -> (prop_3 | prop_2),True
23/49,"It is always the case that in case that ( prop_1 ) , or ( prop_2 ) then all of the following conditions are true : ( prop_3 ) .",G ( ( prop_1 | prop_2 ) -> G prop_3 ),G((prop_1 | prop_2) -> prop_3),False
23/50,"Globally , whenever the transition action that ( prop_2 ) gets detected , then the following condition holds : immediately ( prop_1 ) , and ( prop_3 ) .",G ( prop_2 -> ( prop_1 & prop_3 ) ),G ( prop_2 -> ( X ( prop_1 & prop_3 ) ) ),False
23/51,"If (prop_4) and (prop_3), then (prop_1) should keep happening until (prop_2) within 4722 to 4905 timesteps .","( ( prop_4 & prop_3 ) -> ( prop_1 U [4722,4905] prop_2 ) )","G((prop_4 & prop_3) -> (prop_1 U[4722,4905] prop_2))",True
23/52,"when always ( prop_1 ) , whenever ( prop_2 )",( G prop_1 -> F prop_2 ),G ( prop_1 -> prop_2 ),False
24/53,never ( prop_1 ) and when possible ( prop_2 ),G ( ! prop_1 & F prop_2 ),G( !prop_1 & F(prop_2) ),True
24/54,"On condition that the scenario that ( prop_2 ) is detected , then in response ( prop_3 ) and right away the scenario that ( prop_1 ) must get detected .",G ( prop_2 -> ( prop_3 & prop_1 ) ),G ( prop_2 -> ( prop_3 & X prop_1 ) ),False
24/55,( prop_1 ) and at any time ( prop_2 ),( prop_1 & F prop_2 ),G (prop_1 & prop_2),False
24/56,"If (prop_2) and (prop_4) are equivalent, or else (prop_1) happens and continues until at some point during the 282 to 695 time units ( prop_3 ) happens .","( ( prop_2 <-> prop_4 ) | ( prop_1 U [282,695] prop_3 ) )","((prop_2 <-> prop_4) | (prop_1 U[282,695] prop_3))",True
24/57,"If ( prop_1 ) then ( prop_3 ) , the above scenario is equivalent to the case that at some point during the 9041 to 16487 time units ( prop_2 ) happens .","( ( prop_1 -> prop_3 ) <-> F [9041,16487] prop_2 )","((prop_1 -> prop_3) <-> F[9041,16487](prop_2))",True
24/58,"As soon as the scenario that ( prop_2 ) happens and ( prop_3 ) then the following condition is true : there is sometime within the next 3272 to 10641 time units eventually , at which ( prop_1 ) .","G ( ( prop_2 & prop_3 ) -> F [3272,10641] prop_1 )","G( (prop_2 & prop_3) -> F[3272,10641](prop_1) )",True
24/59,"Globally , while ( prop_3 ) , or ( prop_2 ) then the condition that ( prop_1 ) .",G ( ( prop_3 | prop_2 ) -> ! ( F prop_1 ) ),G((prop_3 | prop_2) -> prop_1),False
24/60,( prop_1 ) and when possible ( prop_2 ),( prop_1 & F prop_2 ),G (prop_1 & (F prop_2)),False
25/61,"On condition that ( prop_3 ) , and ( prop_2 ) , then all of the following conditions are true : without any delay ( prop_1 ) .",G ( ( prop_3 & prop_2 ) -> prop_1 ),G((prop_3 & prop_2) -> prop_1),True
25/62,at some time ( prop_1 ) until ( prop_2 ),F ( prop_1 U prop_2 ),(prop_1 U prop_2),False
25/63,"It is always the case that in case that ( prop_1 ) , then in response there should be sometime in the future before the end of the simulation finally , at which for every moment within the following 73 to 77 time units consecutively the scenario that ( prop_2 ) must never happen .",G ( prop_1 -> F ( G prop_2 ) ),"G( prop_1 -> F( [73,77](!prop_2) ) )",False
25/64,never ( prop_1 ) and ( prop_2 ),G ( ! prop_1 & prop_2 ),G !(prop_1 & prop_2),False
25/65,"It is always the case that while ( prop_1 ) and ( prop_3 ) , then the following condition is true : ( prop_2 ) .",G ( ( prop_1 & prop_3 ) -> G prop_2 ),G((prop_1 & prop_3) -> prop_2),False
25/66,"As soon as ( prop_1 ) , then there exists a certain time point within the next 6225 to 8619 time units , at which ( prop_2 ) and then this scenario shall consecutively continue for each moment within the next 2268 to 8226 time units .","G ( prop_1 -> F [6225,8619] ( G [2268,8226] prop_2 ) )","G( prop_1 -> F[6225,8619]( prop_2 & G[0,8226](prop_2) ) )",False
26/67,"In the event that ( prop_1 ) , or ( prop_3 ) then all of the following conditions hold : simultaneously ( prop_4 ) and ( prop_2 ) .",G ( ( prop_1 | prop_3 ) -> ( prop_4 & prop_2 ) ),G((prop_1 | prop_3) -> (prop_4 & prop_2)),True
27/68,"It is always the case that everytime when the scenario that ( prop_2 ) gets observed , then starting without any delay ( prop_1 ) , or ( prop_3 ) .",G ( prop_2 -> ( prop_1 | prop_3 ) ),G ( prop_2 -> ( prop_1 | prop_3 ) ),True
27/69,"In the case there is a time within the first 5409 to 13173 time units , at which ( prop_2 ) , and before this ( prop_3 ) , then all of the following conditions are true : there has to exist a certain time point during the next 76 to 76 time units , at which the event that ( prop_1 ) must be detected finally .","G ( ( prop_2 U [5409,13173] prop_3 ) -> F [5409,13173] prop_1 )","((F[5409,13173](prop_2 & (prop_3 U prop_2))) -> F[76,76](prop_1))",False
27/70,"As soon as ( prop_1 ) , or ( prop_3 ) then the following condition holds : ( prop_2 ) .",G ( ( prop_1 | prop_3 ) -> prop_2 ),G((prop_1 | prop_3) -> X(prop_2)),False
