true/total,natural_language,reference_ltl,generated_ltl,Equivalence Check
0/1,"As soon as ( prop_4 ) , and the event that ( prop_1 ) does n't take place , then immediately the transition action that ( prop_2 ) or ( prop_3 ) .",G ( ( prop_4 & prop_1 ) -> ( prop_2 | prop_3 ) ),G( ( prop_4 & !prop_1 ) -> ( prop_2 | prop_3 ) ),False
0/2,"If ( prop_3 ) , and the event that ( prop_2 ) gets observed then in response promptly ( prop_1 ) .",G ( ( prop_3 & prop_2 ) -> prop_1 ),"(prop_3 & prop_2) -> F[0,1] prop_1",False
0/3,"In the case the event that ( prop_3 ) does n't take place , and ( prop_1 ) , then the following condition holds : ( prop_2 ) .",G ( ( prop_3 & prop_1 ) -> prop_2 ),G((!prop_3 & prop_1) -> prop_2),False
1/4,"Globally , when ( prop_2 ) , or the transition action that ( prop_3 ) happens , then ( prop_1 ) .",G ( ( prop_2 | prop_3 ) -> prop_1 ),G( (prop_2 | prop_3) -> prop_1 ),True
1/5,"It is always the case that while ( prop_1 ) or ( prop_3 ) then the following condition holds : there exists a certain moment in the coming 9676 to 16253 time units ultimately , after which ( prop_2 ) then this scenario shall uninterruptedly last for every time point in the subsequent 6801 to 6903 time units .","G ( ( prop_1 | prop_3 ) -> F [9676,16253] ( G [6801,6903] prop_2 ) )","G( (prop_1 | prop_3) -> F[9676,16253]( prop_2 & G[0,6803] prop_2 ) )",False
1/6,"If ( prop_2 ) happens and continues to happen until ( prop_4 ) is detected , as well as ( prop_1 ) , then ( prop_3 ) .",( ( ( prop_2 U prop_4 ) & prop_1 ) -> prop_3 ),((prop_2 U (prop_4 & prop_1)) -> prop_3),False
2/7,"Globally , in case that ( prop_1 ) , and ( prop_3 ) then the following condition holds : ( prop_2 ) .",G ( ( prop_1 & prop_3 ) -> prop_2 ),G((prop_1 & prop_3) -> prop_2),True
2/8,whenever ( prop_1 ) and ( prop_2 ),F ( prop_1 & prop_2 ),G((prop_1 & prop_2) -> X true),False
3/9,"It is true that if at all the time point during the 1161 to 9651 time units , either ( prop_1 ) is not observed or ( prop_3 ) then this is equivalent to the scenario that ( prop_2 ) .","( G [1161,9651] ( ! prop_1 | prop_3 ) <-> prop_2 )","\[ G[1161,9651] ( ( !prop_1 | prop_3 ) <-> prop_2 ) \]",True
3/10,"If the event that ( prop_1 ) occurs , then all of the following conditions hold : the scenario that ( prop_3 ) has to immediately occur , and ( prop_2 ) .",G ( prop_1 -> ( prop_3 & prop_2 ) ),G ( prop_1 -> ( X prop_3 & prop_2 ) ),False
3/11,"If ( prop_3 ) then ( prop_4 ) happens and ( prop_2 ) is true , the scenario will hold until at some point during the 5140 to 6708 time units ( prop_1 ) is detected .","( ( ( prop_3 -> prop_4 ) & prop_2 ) U [5140,6708] prop_1 )","(prop_3 -> ((prop_4 & prop_2) U (F[5140,6708] prop_1)))",False
3/12,at some time ( prop_1 ) means that when possible ( prop_2 ),( F prop_1 -> F prop_2 ),F ( prop_1 -> prop_2 ),False
4/13,"Make sure that (prop_1) is true for all time 6710 and beyond, or else if (prop_3), then (prop_2) .","( G [6710,infinite] prop_1 | ( prop_3 -> prop_2 ) )","G[6710,*] (prop_1) | (prop_3 -> prop_2)",True
5/14,The scenario in which (prop_1) happens and continues until (prop_3) happens is equivalent to the scenario in which (prop_2) is equivalent to (prop_4) .,( ( prop_1 U prop_3 ) <-> ( prop_2 <-> prop_4 ) ),((prop_1 U prop_3) <-> (prop_2 <-> prop_4)),True
5/15,The scenario in which (prop_1) is equivalent to the scenario in which (prop_3) happens and (prop_2) should happen all the time .,( ( prop_1 <-> prop_3 ) & G prop_2 ),G( (prop_1 <-> prop_3) & prop_2 ),False
6/16,"( prop_4 ) implies ( prop_3 ) , and ( prop_2 ) happens if and only if ( prop_1 ) .",( ( prop_4 -> prop_3 ) & ( prop_2 <-> prop_1 ) ),(prop_4 -> prop_3) & (prop_2 <-> prop_1),True
7/17,"Globally , when the transition action that ( prop_2 ) happens , then the following condition holds : without any delay ( prop_3 ) and ( prop_1 ) .",G ( prop_2 -> ( prop_3 & prop_1 ) ),G ( prop_2 -> ( prop_3 & prop_1 ) ),True
8/18,"Either (prop_1) or (prop_3) should happen, and at the same time, either (prop_2) or (prop_4) should happen.",( ( prop_1 | prop_3 ) & ( prop_2 | prop_4 ) ),\[(prop_1 | prop_3) & (prop_2 | prop_4)\],True
8/19,"It is always the case that if the transition action that ( prop_2 ) happens , or ( prop_1 ) , then all of the following conditions are true : finally at a certain time point in the future before the end of the simulation , without interruption ( prop_3 ) .",G ( ( prop_2 | prop_1 ) -> F ( G prop_3 ) ),G((prop_2 | prop_1) -> F(prop_3)),False
9/20,"On condition that ( prop_1 ) and the scenario that ( prop_3 ) gets observed , then all of the following conditions are true : ( prop_2 ) .",G ( ( prop_1 & prop_3 ) -> prop_2 ),G((prop_1 & prop_3) -> prop_2),True
9/21,(prop_2) and then (prop_1).,prop_2 U prop_1,F ( prop_2 & F prop_1 ),False
9/22,"At some point (prop_3) is equivalent to (prop_1), and make sure (prop_2) happens at some point after 7193 timesteps .","( ( prop_3 <-> prop_1 ) & F [7193,infinite] prop_2 )","(F(prop_3 <-> prop_1)) & F[7193,](prop_2)",False
10/23,"Globally , during the interval that ( prop_3 ) and ( prop_1 ) , then in response there should be a certain time point in the future before the execution ends , at which ( prop_2 ) .",G ( ( prop_3 & prop_1 ) -> F prop_2 ),G( (prop_3 & prop_1) -> F(prop_2) ),True
10/24,whenever ( prop_1 ) and at some time ( prop_2 ),F ( prop_1 & F prop_2 ),G ( prop_1 -> F prop_2 ),False
11/25,"Globally , when the transition action that ( prop_1 ) gets detected then all of the following conditions are true : ( prop_2 ) .",G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
11/26,"Whenever ( prop_3 ) , and ( prop_2 ) , then the following condition holds : in no time ( prop_1 ) .",G ( ( prop_3 & prop_2 ) -> prop_1 ),G((prop_3 & prop_2) -> G(!prop_1)),False
11/27,never ( prop_1 ) or at any time ( prop_2 ),G ( ! prop_1 | F prop_2 ),G(!prop_1 | prop_2),False
11/28,"Whenever the scenario that ( prop_1 ) is observed , then ( prop_3 ) and then consecutively this condition has to keep till at sometime after between 5640 to 14433 time units , finally ( prop_2 ) .","G ( prop_1 -> ( prop_3 U [5640,14433] prop_2 ) )","G ( prop_1 -> ( prop_3 U[F[5640,14433] prop_2] ) )",False
12/29,"In the case the scenario that ( prop_1 ) occurs , then all of the following conditions are true : at the same time ( prop_2 ) .",G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
12/30,"In the case the event that ( prop_1 ) does n't take place , and ( prop_2 ) , then the following condition holds : ( prop_3 ) .",G ( ( prop_1 & prop_2 ) -> prop_3 ),(!prop_1 & prop_2) -> prop_3,False
12/31,whenever ( prop_1 ) until when possible ( prop_2 ),F ( prop_1 U F prop_2 ),(prop_1) U (prop_2),False
13/32,"Either make sure (prop_3) and (prop_2) are the same, or keep (prop_1) true for all time after 351 timesteps .","( ( prop_3 <-> prop_2 ) | G [351,infinite] prop_1 )","(prop_3 <-> prop_2) | G[351,∞](prop_1)",True
14/33,If ( prop_3 ) and ( prop_2 ) is equivalent to ( prop_1 ) then this scenario will hold until ( prop_4 ) .,( ( ( prop_3 & prop_2 ) <-> prop_1 ) U prop_4 ),((prop_3 & prop_2) <-> prop_1) U prop_4,True
15/34,"Globally , when ( prop_1 ) or ( prop_2 ) then the following condition holds : there has to be a time in the future before the end of the simulation eventually , after which ( prop_3 ) then this condition will remain consecutively in the future before the execution ends .",G ( ( prop_1 | prop_2 ) -> F ( G prop_3 ) ),G((prop_1 | prop_2) -> F(prop_3 & G(prop_3))),True
15/35,"For each time instant in the next 167 to 176 time units if ( prop_2 ) then ( prop_1 ) , the above scenario is equivalent to ( prop_3 ) .","( G [167,176] ( prop_2 -> prop_1 ) <-> prop_3 )","F[167,176] ( (prop_2 -> prop_1) <-> prop_3 )",False
16/36,"Globally , in case that ( prop_3 ) and the transition action that ( prop_2 ) gets observed then ( prop_1 ) .",G ( ( prop_3 & prop_2 ) -> prop_1 ),G((prop_3 & prop_2) -> prop_1),True
