Summary,ID,ptLTL,Generated ptLTL,Equivalence Check
0/1,Requirement:   Once ControlLoopFinish has occurred; the system shall ensure that either ControlLoopStart has never occurred before; or that the previous system state did not include both ControlLoopStart and a condition where ControlLoopStart had not yet been inactive; and that prior to this point the system continuously maintained a state where MonitorVoltageBusConsumption and SendVoltageBusConsumptionData were not both inactive until the moment when ControlLoopStart became active after having been inactive.    In practical terms; for an autonomous aircraft control system; this means that after each control loop completes (ControlLoopFinish); the system must confirm that the control loop was properly initiated (ControlLoopStart) only after the voltage bus monitoring and data transmission functions (MonitorVoltageBusConsumption and SendVoltageBusConsumptionData) had been consistently operating as required.,(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorVoltageBusConsumption & SendVoltageBusConsumptionData)) S ((! (MonitorVoltageBusConsumption & SendVoltageBusConsumptionData)) & (ControlLoopStart & (Z (! ControlLoopStart))))))))))),O(ControlLoopFinish → (¬O(ControlLoopStart) ∨ (Y(¬(ControlLoopStart ∧ Y(¬ControlLoopStart))) ∧ ((¬(¬MonitorVoltageBusConsumption ∧ ¬SendVoltageBusConsumptionData)) S (¬ControlLoopStart ∧ Y(ControlLoopStart)))))),False
0/2,Requirement:   Once ControlLoopFinish has occurred; the system shall ensure that either ControlLoopStart has never occurred before; or that the previous system state did not include a transition from ControlLoopStart to a period without ControlLoopStart; and that in the immediately preceding state the system had continuously avoided any condition where MonitorBatteryDischargeRate and SendBatteryDischargeRateData were both inactive until the point when ControlLoopStart began after a period without ControlLoopStart.    In practical terms; for an autonomous drone; this means that whenever a control loop completes; the drone must confirm that either no control loop was ever started before; or that the previous control loop sequence was properly initiated and monitored; ensuring that battery discharge monitoring and data transmission were consistently active up to the start of the next control loop.,(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorBatteryDischargeRate & SendBatteryDischargeRateData)) S ((! (MonitorBatteryDischargeRate & SendBatteryDischargeRateData)) & (ControlLoopStart & (Z (! ControlLoopStart))))))))))),O(ControlLoopFinish → (¬O(ControlLoopStart) ∨ (¬Y(¬ControlLoopStart S ControlLoopStart) ∧ Y(H(¬(¬MonitorBatteryDischargeRate ∧ ¬SendBatteryDischargeRateData) S (¬ControlLoopStart ∧ O(ControlLoopStart))))))),False
1/3,When the aircraft exits SimulationMode after previously being in SimulationMode the system shall ensure that SimulationDataSaved remains false until the moment of this transition or that EvaluateControllerPerformance remains false until SimulationDataSaved becomes true or until the transition out of SimulationMode occurs. This requirement ensures that controller performance evaluation does not begin before the simulation data has been properly saved whenever the aircraft switches from simulation to real operation.,((O (((! SimulationMode) & (Y SimulationMode)) & (Y (H (! ((! SimulationMode) & (Y SimulationMode))))))) -> (((! SimulationDataSaved) S ((! SimulationDataSaved) & (((! SimulationMode) & (Y SimulationMode)) & (Y (H (! ((! SimulationMode) & (Y SimulationMode)))))))) | (! ((! EvaluateControllerPerformance) S ((! EvaluateControllerPerformance) & (SimulationDataSaved & ((Y (! SimulationDataSaved)) | (((! SimulationMode) & (Y SimulationMode)) & (Y (H (! ((! SimulationMode) & (Y SimulationMode))))))))))))),((Y SimulationMode ∧ ¬SimulationMode) → ((¬SimulationDataSaved) S (Y SimulationMode ∧ ¬SimulationMode) ∨ (¬EvaluateControllerPerformance) S (SimulationDataSaved ∨ (Y SimulationMode ∧ ¬SimulationMode)))),True
2/4,OverallSystemHealthMonitoring shall always remain active and continuously verify the operational status of the entire system throughout all phases of operation.,(O OverallSystemHealthMonitoring),H(OverallSystemHealthMonitoring),True
3/5,The system shall ensure that whenever SimulationMode is active; both SimulateCommunications and SimulatePackageSending are continuously performed throughout the entire operation.,(H (SimulationMode -> (SimulateCommunications & SimulatePackageSending))),H (SimulationMode → (SimulateCommunications ∧ SimulatePackageSending)),True
3/6,Whenever the aircraft control system exits SimulationMode and enters real operation; the system shall verify that any recent activation of NucleoOneControl or NucleoTwoControl has been followed by a valid MeasureControlTransition or by a confirmed SimulationMode recovery sequence. This requirement shall hold consistently for all previous operational cycles so that any transition from SimulationMode to real operation always occurs only after the proper control transition or simulation recovery has been completed.,((H (((! SimulationMode) & (Y SimulationMode)) -> (Y (((Y ((NucleoOneControl | NucleoTwoControl) & ((Y (! (NucleoOneControl | NucleoTwoControl))) | (SimulationMode & (Z (! SimulationMode)))))) -> (MeasureControlTransition | (SimulationMode & (Z (! SimulationMode))))) S (((Y ((NucleoOneControl | NucleoTwoControl) & ((Y (! (NucleoOneControl | NucleoTwoControl))) | (SimulationMode & (Z (! SimulationMode)))))) -> (MeasureControlTransition | (SimulationMode & (Z (! SimulationMode))))) & (SimulationMode & (Z (! SimulationMode)))))))) & (((! ((! SimulationMode) & (Y SimulationMode))) S ((! ((! SimulationMode) & (Y SimulationMode))) & (SimulationMode & (Z (! SimulationMode))))) -> (((Y ((NucleoOneControl | NucleoTwoControl) & ((Y (! (NucleoOneControl | NucleoTwoControl))) | (SimulationMode & (Z (! SimulationMode)))))) -> (MeasureControlTransition | (SimulationMode & (Z (! SimulationMode))))) S (((Y ((NucleoOneControl | NucleoTwoControl) & ((Y (! (NucleoOneControl | NucleoTwoControl))) | (SimulationMode & (Z (! SimulationMode)))))) -> (MeasureControlTransition | (SimulationMode & (Z (! SimulationMode))))) & (SimulationMode & (Z (! SimulationMode))))))),H(((Y SimulationMode) ∧ ¬SimulationMode) → O(((NucleoOneControl ∨ NucleoTwoControl) → (MeasureControlTransition ∨ SimulationMode)))),False
3/7,Whenever the aircraft control system transitions from SimulationMode to real operation; the system shall ensure that either SimulatePacketLoss remains disabled throughout the entire simulation period up to the point of transition; or that the PacketLossRate remains less than or equal to AcceptablePacketLoss during that time. This condition shall hold for every occurrence of entering and exiting SimulationMode so that when the aircraft leaves simulation and resumes real operation; communication integrity is guaranteed and no unintended packet loss simulation persists.,((H (((! SimulationMode) & (Y SimulationMode)) -> (Y ((((! SimulatePacketLoss) S ((! SimulatePacketLoss) & (SimulationMode & (Z (! SimulationMode))))) | (PacketLossRate <= AcceptablePacketLoss)) S ((((! SimulatePacketLoss) S ((! SimulatePacketLoss) & (SimulationMode & (Z (! SimulationMode))))) | (PacketLossRate <= AcceptablePacketLoss)) & (SimulationMode & (Z (! SimulationMode)))))))) & (((! ((! SimulationMode) & (Y SimulationMode))) S ((! ((! SimulationMode) & (Y SimulationMode))) & (SimulationMode & (Z (! SimulationMode))))) -> ((((! SimulatePacketLoss) S ((! SimulatePacketLoss) & (SimulationMode & (Z (! SimulationMode))))) | (PacketLossRate <= AcceptablePacketLoss)) S ((((! SimulatePacketLoss) S ((! SimulatePacketLoss) & (SimulationMode & (Z (! SimulationMode))))) | (PacketLossRate <= AcceptablePacketLoss)) & (SimulationMode & (Z (! SimulationMode))))))),H( (Y SimulationMode ∧ ¬SimulationMode) → H( SimulationMode → (¬SimulatePacketLoss ∨ (PacketLossRate ≤ AcceptablePacketLoss)) ) ),False
4/8,At all times when MonitoringEnabled is active the system shall ensure that MonitorCommunicationQuality is performed.,(H (MonitoringEnabled -> MonitorCommunicationQuality)),H ( MonitoringEnabled → MonitorCommunicationQuality ),True
4/9,Whenever ControlLoopFinish occurs the system shall ensure that either ControlLoopStart has never occurred before or that the most recent system history shows no instance where ControlLoopStart was active while a previous state indicated that ControlLoopStart had not yet occurred. In addition the system shall guarantee that before ControlLoopFinish the sequence of operations involving MonitorBatteryStatus and SendBatteryStatusData together with MonitorBatteryLevel and SendBatteryLevelData and MonitorBatteryVoltage and SendBatteryVoltageData has not been continuously interrupted until the point where ControlLoopStart becomes active after a period when it was inactive.    In practical terms for an autonomous drone this means that when a control loop finishes the drone must not have started a new control loop earlier than expected and must have maintained consistent monitoring and transmission of battery status level and voltage data up to the moment the next control loop begins.,(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (((MonitorBatteryStatus & SendBatteryStatusData) & (MonitorBatteryLevel & SendBatteryLevelData)) & (MonitorBatteryVoltage & SendBatteryVoltageData))) S ((! (((MonitorBatteryStatus & SendBatteryStatusData) & (MonitorBatteryLevel & SendBatteryLevelData)) & (MonitorBatteryVoltage & SendBatteryVoltageData))) & (ControlLoopStart & (Z (! ControlLoopStart))))))))))),H( ControlLoopFinish → ( ¬O(ControlLoopStart) ∨ H( (ControlLoopStart ∧ Y(¬ControlLoopStart)) → (O(ControlLoopStart) ∧ H((MonitorBatteryStatus ∧ SendBatteryStatusData ∧ MonitorBatteryLevel ∧ SendBatteryLevelData ∧ MonitorBatteryVoltage ∧ SendBatteryVoltageData) S (Y(¬ControlLoopStart) ∧ ControlLoopStart))) ) ) ),False
4/10,Whenever ControlLoopFinish occurs the system shall ensure that either ControlLoopStart has never occurred before or that the following condition holds. Immediately before ControlLoopFinish the system shall not have a situation where ControlLoopStart is active while previously ControlLoopStart was inactive. In addition the system shall guarantee that before ControlLoopFinish it has never been the case that the combination of MonitorPitotTube and SendPitotTubeData together with MonitorAlphaVane and SendAlphaVaneData and MonitorBetaVane and SendBetaVaneData was continuously active until a point where ControlLoopStart became active after being inactive.    In practical terms for an aircraft flight control computer this means that when a control loop finishes execution the system must not have started a new control loop unless the monitoring and data transmission of the Pitot tube the Alpha vane and the Beta vane sensors have not all been simultaneously active in the period leading up to that start.,(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (((MonitorPitotTube & SendPitotTubeData) & (MonitorAlphaVane & SendAlphaVaneData)) & (MonitorBetaVane & SendBetaVaneData))) S ((! (((MonitorPitotTube & SendPitotTubeData) & (MonitorAlphaVane & SendAlphaVaneData)) & (MonitorBetaVane & SendBetaVaneData))) & (ControlLoopStart & (Z (! ControlLoopStart))))))))))),H( ControlLoopFinish → ( ¬O(ControlLoopStart) ∨ ( ¬(Y(¬ControlLoopStart) ∧ ControlLoopStart) ∧ ¬O( ((MonitorPitotTube ∧ SendPitotTubeData ∧ MonitorAlphaVane ∧ SendAlphaVaneData ∧ MonitorBetaVane ∧ SendBetaVaneData) S (Y(¬ControlLoopStart) ∧ ControlLoopStart)) ) ) ) ),False
