true/total,natural_language,reference_ltl,generated_ltl,Equivalence Check
0/1,at any time ( prop_1 ) and whenever ( prop_2 ),F ( prop_1 & F prop_2 ),G(prop_1 -> prop_2),False
0/2,"The scenario in which ( prop_1 ) is not the case should be equivalent to the scenario in which ( prop_2 ) happens , or else ( prop_3 ) should happen for each time instant within the next 6424 to 6843 time units .","( ( ! prop_1 <-> prop_2 ) | G [6424,6843] prop_3 )","((!prop_1) <-> prop_2) | F[6424,6843](prop_3)",False
0/3,"Globally , while ( prop_1 ) and the event that ( prop_2 ) does not get detected then in response ( prop_3 ) .",G ( ( prop_1 & prop_2 ) -> prop_3 ),G( (prop_1 & !prop_2) -> prop_3 ),False
1/4,"In the case the event that ( prop_3 ) gets detected then at the same time the event that ( prop_1 ) is detected , and ( prop_2 ) .",G ( prop_3 -> ( prop_1 & prop_2 ) ),G ( prop_3 -> ( prop_1 & prop_2 ) ),True
2/5,"While ( prop_1 ) , or ( prop_2 ) then ( prop_3 ) .",G ( ( prop_1 | prop_2 ) -> prop_3 ),G( (prop_1 | prop_2) -> prop_3 ),True
3/6,( prop_1 ) and ( prop_2 ),( prop_1 & prop_2 ),prop_1 & prop_2,True
3/7,"If (prop_3) or (prop_1), then it is required that (prop_2) happens at some point within the next 78 to 190 time units, and vice versa .","( ( prop_3 | prop_1 ) <-> F [78,190] prop_2 )","G( ((prop_3 | prop_1) -> F[78,190](prop_2)) & (prop_2 -> F[78,190](prop_3 | prop_1)) )",False
4/8,"The scenario in which (prop_2) happens and continues until at some point during 398 to 474 time units (prop_1) happens, is equivalent to the scenario in which (prop_3) does not happen .","( ( prop_2 U [398,474] prop_1 ) <-> ! prop_3 )","((prop_2 U[398,474] prop_1) <-> !prop_3)",True
5/9,( prop_1 ) or at any time ( prop_2 ),( prop_1 | F prop_2 ),prop_1 | F(prop_2),True
5/10,If ( prop_4 ) happens and continues to happen until ( prop_2 ) or ( prop_1 ) is detected then the above scenario is equivalent to ( prop_3 ) .,( ( ( prop_4 U prop_2 ) | prop_1 ) <-> prop_3 ),((prop_4 U (prop_2 | prop_1)) <-> prop_3),False
5/11,"If (prop_3) is achieved at some point, then either (prop_2) or (prop_1) should have happened .",( F prop_3 -> ( prop_2 | prop_1 ) ),F(prop_3) -> (F(prop_2) | F(prop_1)),False
5/12,( prop_1 ) until whenever ( prop_2 ),( prop_1 U F prop_2 ),(prop_1 U prop_2),False
6/13,"It is always the case that in case that ( prop_1 ) , then ( prop_3 ) and ( prop_2 ) .",G ( prop_1 -> ( prop_3 & prop_2 ) ),G ( prop_1 -> ( prop_3 & prop_2 ) ),True
6/14,Please (prop_1),F prop_1,prop_1,False
6/15,at any time ( prop_1 ) or at some time ( prop_2 ),F ( prop_1 | F prop_2 ),G(prop_1) | F(prop_2),False
6/16,"Globally , everytime when ( prop_2 ) or ( prop_3 ) , then in response ( prop_1 ) .",G ( ( prop_2 | prop_3 ) -> G prop_1 ),G((prop_2 | prop_3) -> prop_1),False
6/17,If ( prop_1 ) then all of the following conditions are true : ( prop_2 ) .,G ( prop_1 -> prop_2 ),(prop_1 -> prop_2),False
6/18,"On condition that ( prop_2 ) , and the transition action that ( prop_3 ) gets observed then the following condition is true : ultimately after a certain time point in the future before the execution ends ( prop_1 ) .",G ( ( prop_2 & prop_3 ) -> F ( G prop_1 ) ),G( (prop_2 & prop_3) -> F(prop_1) ),False
7/19,"Whenever the scenario that ( prop_3 ) gets observed , or the transition action that ( prop_4 ) happens then all of the following conditions are true : ( prop_1 ) , or ( prop_2 ) .",G ( ( prop_3 | prop_4 ) -> ( prop_1 | prop_2 ) ),G((prop_3 | prop_4) -> (prop_1 | prop_2)),True
7/20,whenever ( prop_1 ) and at some time ( prop_2 ),F ( prop_1 & F prop_2 ),G ( prop_1 -> F prop_2 ),False
8/21,( prop_1 ) or ( prop_2 ),( prop_1 | prop_2 ),prop_1 | prop_2,True
8/22,"In case that ( prop_2 ) happens and continues to happen until at some point during the 1720 to 11582 time units ( prop_1 ) is detected , or else ( prop_3 ) , or else ( prop_4 ) .","( ( ( prop_2 U [1720,11582] prop_1 ) | prop_3 ) | prop_4 )","((prop_2 U[1720,11582] prop_1) | prop_3 | prop_4)",False
8/23,"It is always the case that if (prop_3), then (prop_2) if and only if at some point during 3004 to 7939 time steps, (prop_1) happens .","( ( prop_3 -> prop_2 ) <-> F [3004,7939] prop_1 )","G ( prop_3 -> ( prop_2 <-> F[3004,7939] prop_1 ) )",False
9/24,"Globally , everytime when ( prop_2 ) , or ( prop_4 ) , then all of the following conditions are true : simultaneously ( prop_3 ) , and at once ( prop_1 ) .",G ( ( prop_2 | prop_4 ) -> ( prop_3 & prop_1 ) ),G((prop_2 | prop_4) -> (prop_3 & prop_1)),True
10/25,"When the event that ( prop_3 ) takes place , and ( prop_2 ) , then all of the following conditions are true : ( prop_1 ) .",G ( ( prop_3 & prop_2 ) -> prop_1 ),G((prop_3 & prop_2) -> prop_1),True
11/26,( prop_1 ) and ( prop_2 ),( prop_1 & prop_2 ),prop_1 & prop_2,True
11/27,"( prop_1 ) happens and continues until at some point ( prop_2 ) happens , and in the same time ( prop_3 ) does not happen .",( ( prop_1 U prop_2 ) & ! prop_3 ),(prop_1 U (prop_2 & !prop_3)),False
11/28,"Everytime when ( prop_2 ) , and the event that ( prop_3 ) is observed , then ( prop_1 ) then this scenario ought to hold all the time for the coming 3366 to 10872 time units .","G ( ( prop_2 & prop_3 ) -> G [3366,10872] prop_1 )","G( (prop_2 & prop_3 & prop_1) -> G[3366,10872](prop_1) )",False
12/29,when possible ( prop_1 ) or when possible ( prop_2 ),F ( prop_1 | F prop_2 ),F (prop_1 | prop_2),True
12/30,"Globally , everytime when ( prop_1 ) or the transition action that ( prop_3 ) happens , then for each moment in the next 5171 time units consecutively ( prop_2 ) .","G ( ( prop_1 | prop_3 ) -> G [5171,5171] prop_2 )","G( (prop_1 | prop_3) -> F[0,5171](prop_2) )",False
12/31,"(prop_3) should happen and hold until at some point during 3174 to 8553 time units the scenario that (prop_2) should happen, and in the same time (prop_1) does not happen .","( ( prop_3 U [3174,8553] prop_2 ) & ! prop_1 )","(prop_3 U_[3174,8553] (prop_2 & !prop_1))",False
12/32,"While ( prop_4 ) or ( prop_3 ) or ( prop_1 ), and ( prop_2 ) has to be detected .",( ( ( prop_4 | prop_3 ) | prop_1 ) & prop_2 ),G( (prop_4 | prop_3 | prop_1) -> prop_2 ),False
13/33,"While ( prop_1 ) and ( prop_2 ) , then all of the following conditions hold : ( prop_3 ) and then consecutively this condition will have to continue in the future till the simulation ends .",G ( ( prop_1 & prop_2 ) -> G prop_3 ),G((prop_1 & prop_2) -> G(prop_3)),True
13/34,"( prop_3 ) or ( prop_4 ) should happen , equal to the case that ( prop_1 ) happens and continues until at some point during the 122 to 9389 time units ( prop_2 ) happens .","( ( prop_3 | prop_4 ) <-> ( prop_1 U [122,9389] prop_2 ) )","((F[0,0](prop_3 | prop_4)) <-> ((prop_1) U[122,9389] (prop_2)))",False
14/35,"The scenario in which ( prop_3 ) is equivalent to the scenario in which ( prop_4 ) happens , and ( prop_2 ) should happen and hold until at a certain time point during the 7657 to 10294 time units the scenario that ( prop_1 ) should happen .","( ( prop_3 <-> prop_4 ) & ( prop_2 U [7657,10294] prop_1 ) )","((prop_3 <-> prop_4) & (prop_2 U[7657,10294] prop_1))",True
14/36,"If (prop_3) and (prop_1) are both true, then either (prop_2) or (prop_4) must be true as well, and vice versa .",( ( prop_3 & prop_1 ) <-> ( prop_2 | prop_4 ) ),G((prop_3 & prop_1) <-> (prop_2 | prop_4)),False
14/37,at some time ( prop_1 ) until when possible ( prop_2 ),F ( prop_1 U F prop_2 ),(prop_1 U prop_2),False
14/38,"In the case ( prop_1 ) , and ( prop_2 ) then ( prop_3 ) .",G ( ( prop_1 & prop_2 ) -> prop_3 ),(prop_1 & prop_2) -> prop_3,False
14/39,"When ( prop_1 ) , and ( prop_2 ) , then in no time ( prop_3 ) .",G ( ( prop_1 & prop_2 ) -> prop_3 ),G((prop_1 & prop_2) -> !prop_3),False
14/40,"If (prop_1) and (prop_3), or else if (prop_2) is always true for 54 to 552 timesteps .","( ( prop_1 & prop_3 ) | G [54,552] prop_2 )","G[54,552]((prop_1 & prop_3) | prop_2)",False
