true/total,natural_language,reference_ltl,generated_ltl,Equivalence Check
1/1,It is always the case that when the scenario that ( prop_1 ) gets observed then instantly ( prop_2 ) .,G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
1/2,"If (prop_3) or (prop_2), then always (prop_1) starting from 335 timesteps .","( ( prop_3 | prop_2 ) -> G [335,infinite] prop_1 )","((prop_3 | prop_2) -> G[335,∞] prop_1)",False
1/3,"( prop_3 ) and ( prop_1 ) should happen at the same time , and this should continue until at some point after 1287 time units ( prop_2 ) and ( prop_4 ) should happen at the same time .","( ( prop_3 & prop_1 ) U [1287,infinite] ( prop_2 & prop_4 ) )","((prop_3 & prop_1) U[1287,∞) (prop_2 & prop_4))",False
1/4,"Globally , if ( prop_2 ) , and the scenario that ( prop_3 ) takes place , then the following condition holds : there has to exist a certain time instant during the coming 7539 to 12947 time units eventually , at which the event that ( prop_1 ) should be detected .","G ( ( prop_2 & prop_3 ) -> F [7539,12947] prop_1 )","G( (prop_2 & prop_3) -> F[7539,12947](prop_1) )",True
1/5,During the interval that ( prop_3 ) and ( prop_1 ) then in the future until the execution ends the event that ( prop_2 ) should consecutively not get observed .,G ( ( prop_3 & prop_1 ) -> G prop_2 ),G((prop_3 & prop_1) -> G(!prop_2)),False
2/6,"If ( prop_2 ) , and ( prop_1 ) , then ultimately ( prop_3 ) .",G ( ( prop_2 & prop_1 ) -> F prop_3 ),G((prop_2 & prop_1) -> F(prop_3)),True
3/7,never ( prop_1 ) and when possible ( prop_2 ),G ( ! prop_1 & F prop_2 ),G( !prop_1 & F(prop_2) ),True
3/8,"Globally , everytime when the transition action that ( prop_1 ) occurs and ( prop_4 ) , then the following condition holds : there needs to exist a certain time point in the future before the simulation ends , at which the event that ( prop_2 ) gets observed ultimately , until then ( prop_3 ) .",G ( ( prop_1 & prop_4 ) -> ( prop_2 U prop_3 ) ),G((prop_1 & prop_4) -> (prop_3 U prop_2)),False
4/9,"It is always the case that if ( prop_2 ) , and the event that ( prop_1 ) happens , then ( prop_3 ) and ( prop_4 ) .",G ( ( prop_2 & prop_1 ) -> ( prop_3 & prop_4 ) ),G( (prop_2 & prop_1) -> (prop_3 & prop_4) ),True
4/10,"It is always the case that whenever ( prop_1 ) or ( prop_3 ) , then all of the following conditions are true : finally at a certain moment in the future before the simulation ends , ( prop_2 ) and then consistently this condition remains for each time instant in the next 11 time units .",G ( ( prop_1 | prop_3 ) -> F ( G prop_2 ) ),"G((prop_1 | prop_3) -> F[0,∞](prop_2 & G[0,11]prop_2))",False
4/11,"Everytime when the scenario that ( prop_1 ) occurs , then right away ( prop_3 ) and at the same moment the event that ( prop_2 ) ought n't to occur .",G ( prop_1 -> ( prop_3 & prop_2 ) ),G( prop_1 -> ( prop_3 & !prop_2 ) ),False
4/12,when possible ( prop_1 ) and never ( prop_2 ),F ( prop_1 & G ( ! prop_2 ) ),G ( prop_1 -> !prop_2 ),False
5/13,whenever ( prop_1 ) or at some time ( prop_2 ),F ( prop_1 | F prop_2 ),F (prop_1 | prop_2),True
5/14,"If ( prop_3 ) and ( prop_1 ) , then the following condition is true : there shall finally exist a certain time instant in the future before the execution ends , at which ( prop_2 ) and then this condition will have to continuously remain for every moment during the following 65 time units .",G ( ( prop_3 & prop_1 ) -> F ( G prop_2 ) ),"G((prop_3 & prop_1) -> F(prop_2 & G[0,65] prop_2))",False
5/15,( prop_1 ) or whenever ( prop_2 ),( prop_1 | F prop_2 ),(prop_1) | (prop_2),False
5/16,"Globally , if the scenario that ( prop_1 ) is observed , then the following condition is true : promptly ( prop_2 ) and at the same time ( prop_3 ) .",G ( prop_1 -> ( prop_2 & prop_3 ) ),"G ( prop_1 -> ( F[0,1] ( prop_2 & prop_3 ) ) )",False
6/17,It is always the case that if the event that ( prop_1 ) happens then all of the following conditions are true : ( prop_2 ) .,G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
7/18,"Globally , if the transition action that ( prop_1 ) gets detected , then in response ( prop_3 ) , or ( prop_2 ) .",G ( prop_1 -> ( prop_3 | prop_2 ) ),G ( prop_1 -> ( prop_3 | prop_2 ) ),True
7/19,at any time ( prop_1 ) until whenever ( prop_2 ),F ( prop_1 U F prop_2 ),(prop_1 U prop_2),False
8/20,"When ( prop_3 ) , or ( prop_1 ) , then the following condition holds : at the same moment ( prop_2 ) .",G ( ( prop_3 | prop_1 ) -> prop_2 ),G((prop_3 | prop_1) -> prop_2),True
8/21,Whenever ( prop_2 ) or ( prop_3 ) then the following condition is true : promptly ( prop_1 ) .,G ( ( prop_2 | prop_3 ) -> prop_1 ),"G( (prop_2 | prop_3) -> F[0,1](prop_1) )",False
8/22,"It is always the case that in case that the scenario that ( prop_3 ) happens , then the following condition is true : ultimately the event that ( prop_2 ) needs to happen at a time in the future , until then ( prop_1 ) .",G ( prop_3 -> ( prop_2 U prop_1 ) ),G ( prop_3 -> ( prop_1 U F prop_2 ) ),False
