true/total,natural_language,reference_ltl,generated_ltl,Equivalence Check
1/1,"It is always the case that in case that ( prop_2 ) then the following condition holds : instantly ( prop_1 ) , and at once ( prop_3 ) .",G ( prop_2 -> ( prop_1 & prop_3 ) ),G ( prop_2 -> ( prop_1 & prop_3 ) ),True
2/2,"Whenever ( prop_2 ) , then all of the following conditions hold : at the same time point ( prop_1 ) and ( prop_3 ) .",G ( prop_2 -> ( prop_1 & prop_3 ) ),G( prop_2 -> ( prop_1 & prop_3 ) ),True
2/3,repeatedly ( prop_1 ) until whenever ( prop_2 ),G ( F prop_1 U F prop_2 ),(prop_1 U prop_2),False
3/4,"In case ( prop_2 ) , and ( prop_4 ) then all of the following conditions are true : ( prop_3 ) or ( prop_1 ) .",G ( ( prop_2 & prop_4 ) -> ( prop_3 | prop_1 ) ),G((prop_2 & prop_4) -> (prop_3 | prop_1)),True
4/5,"During the interval that ( prop_3 ) , and ( prop_1 ) , then all of the following conditions hold : ( prop_2 ) .",G ( ( prop_3 & prop_1 ) -> prop_2 ),G((prop_3 & prop_1) -> prop_2),True
5/6,"Globally , everytime when the event that ( prop_2 ) gets detected then in response at the same time ( prop_3 ) , and ( prop_1 ) .",G ( prop_2 -> ( prop_3 & prop_1 ) ),G ( prop_2 -> ( prop_3 & prop_1 ) ),True
6/7,"Whenever the scenario that ( prop_3 ) is observed , and ( prop_1 ) , then ( prop_2 ) .",G ( ( prop_3 & prop_1 ) -> prop_2 ),G((prop_3 & prop_1) -> prop_2),True
7/8,"On condition that ( prop_1 ) or ( prop_3 ) , then starting without any delay ( prop_2 ) .",G ( ( prop_1 | prop_3 ) -> prop_2 ),G((prop_1 | prop_3) -> prop_2),True
8/9,( prop_1 ) and when possible ( prop_2 ),( prop_1 & F prop_2 ),prop_1 & F prop_2,True
9/10,at some time ( prop_1 ) or at some time ( prop_2 ),F ( prop_1 | F prop_2 ),F(prop_1) | F(prop_2),True
9/11,"Globally , whenever ( prop_1 ) then in response ( prop_2 ) .",G ( prop_1 -> prop_2 ),G ( prop_1 -> F prop_2 ),False
10/12,"Whenever ( prop_3 ) , or ( prop_2 ) then in response ( prop_1 ) .",G ( ( prop_3 | prop_2 ) -> prop_1 ),G((prop_3 | prop_2) -> prop_1),True
11/13,"Whenever the scenario that ( prop_3 ) gets detected , and the scenario that ( prop_1 ) happens , then the following condition holds : for every moment within the coming 8676 time units the event that ( prop_2 ) shall happen finally at a certain time instant within the next 356 to 1966 time units .","G ( ( prop_3 & prop_1 ) -> G [8676,8676] ( F [356,1966] prop_2 ) )","G( (prop_3 & prop_1) -> G[0,8676](F[356,1966](prop_2)) )",True
11/14,"If whenever (prop_1) happens, (prop_3) also happens, then make sure (prop_2) is always true for the next 294 to 485 time units .","( ( prop_1 -> prop_3 ) -> G [294,485] prop_2 )","((G (prop_1 -> prop_3)) -> G[294,485](prop_2))",False
12/15,"Globally , if ( prop_2 ) , and ( prop_3 ) then ( prop_1 ) .",G ( ( prop_2 & prop_3 ) -> prop_1 ),G((prop_2 & prop_3) -> prop_1),True
12/16,"Globally , during the interval that ( prop_3 ) , and ( prop_2 ) then the following condition holds : for every moment in the next 2033 to 6820 time units there will be a certain moment in the future , at which ( prop_1 ) .","G ( ( prop_3 & prop_2 ) -> G [2033,6820] ( F prop_1 ) )","G( (prop_3 & prop_2) -> F[2033,6820](prop_1) )",False
